id,label,name
khainiem_am,KhaiNiem,am
khainiem_anninhluongthuc,KhaiNiem,An ninh lương thực
khainiem_antoanthongtinmang,KhaiNiem,an toàn thông tin mạng
chuthe_bancuongchethuhoidat,ChuThe,Ban cưỡng chế thu hồi đất
hanhviphaply_banhanhbanggiadat,HanhViPhapLy,Ban hành bảng giá đất
hanhviphaply_banhanhkhunggiadat,HanhViPhapLy,"Ban hành khung giá đất, bảng giá đất"
hanhviphaply_banhanhluat,HanhViPhapLy,"Ban hành luật, nghị quyết về đất đai"
hanhviphaply_banhanhvqppl,HanhViPhapLy,Ban hành văn bản quy phạm pháp luật
chuthe_banquanlykhucongnghecao,ChuThe,Ban Quản lý khu công nghệ cao
chuthe_banquanlykhukinhte,ChuThe,Ban Quản lý khu kinh tế
chuthe_banquanlykhukinhote,ChuThe,Ban quản lý khu kinh tế
chuthe_banquanlyrungphongho,ChuThe,Ban quản lý rừng phòng hộ
chuthe_banquanlyrungdacdung,ChuThe,Ban quản lý rừng đặc dụng
chuthe_banthihanhcuongche,ChuThe,Ban thực hiện cưỡng chế
khainiem_biatuongniem,KhaiNiem,bia tưởng niệm
khainiem_biendongdatdai,KhaiNiem,Biến động đất đai
hanhviphaply_bangiaolaidat,HanhViPhapLy,Bàn giao lại đất khi Nhà nước có quyết định thu hồi đất
hanhviphaply_bants,HanhViPhapLy,Bán tài sản
hanhviphaply_bantaisan,HanhViPhapLy,bán tài sản
hanhviphaply_bantaisanganlienvoithuedat,HanhViPhapLy,Bán tài sản thuộc sở hữu của mình gắn liền với đất thuê
hanhviphaply_baocaoketqua,HanhViPhapLy,"báo cáo kết quả thống kê, kiểm kê đất đai"
hanhviphaply_baocaoketquathuchienquyhoach,HanhViPhapLy,"Báo cáo kết quả thực hiện quy hoạch, kế hoạch sử dụng đất"
hanhviphaply_baocaoketquatuvan,HanhViPhapLy,Báo cáo kết quả tư vấn xác định giá đất khi có yêu cầu
hanhviphaply_baocaothuchienquydinh,HanhViPhapLy,"Báo cáo thực hiện quy hoạch, kế hoạch sử dụng đất"
hanhviphaply_baibo,HanhViPhapLy,Bãi bỏ
khainiem_bimatnhanuoc,KhaiNiem,bí mật nhà nước
khainiem_banan,KhaiNiem,bản án
khainiem_bandohientrangsudungdat,KhaiNiem,Bản đồ hiện trạng sử dụng đất
khainiem_bandohanhchinh,KhaiNiem,Bản đồ hành chính
khainiem_bandoquyhoachsudungdat,KhaiNiem,Bản đồ quy hoạch sử dụng đất
khainiem_bandodiachinh,KhaiNiem,Bản đồ địa chính
khainiem_banggiadat,KhaiNiem,Bảng giá đất
khainiem_banggiaodat,KhaiNiem,Bảng giá đất
khainiem_banggia,KhaiNiem,Bảng giá đất
hanhviphaply_baohoquyensudungdat,HanhViPhapLy,bảo hộ quyền sử dụng đất
hanhviphaply_baohopquyensudungdat,HanhViPhapLy,Bảo hộ quyền sử dụng đất
hanhviphaply_baoquan,HanhViPhapLy,bảo quản
hanhviphaply_baotoandientichdat,HanhViPhapLy,"Bảo toàn diện tích đất được giao, được thuê"
khainiem_baotri,KhaiNiem,Bảo trì
hanhviphaply_baotonbansac,HanhViPhapLy,Bảo tồn bản sắc
hanhviphaply_baove,HanhViPhapLy,Bảo vệ
hanhvi_baove,HanhViPhapLy,Bảo vệ
khainiem_baovemoitruong,KhaiNiem,bảo vệ môi trường
hanhviphaply_baovedatbaovemoitruongthichungbiendoikhihau,HanhViPhapLy,"Bảo vệ đất, bảo vệ môi trường, thích ứng với biến đổi khí hậu"
hanhviphaply_baovecaitao,HanhViPhapLy,"Bảo vệ, cải tạo, làm tăng độ màu mỡ của đất; xử lý đất, đất có mặt nước bị ô nhiễm, phục hồi đất bị thoái hóa"
hanhviphaply_baove_caitaophuchoidat,HanhViPhapLy,"Bảo vệ, cải tạo, phục hồi đất"
hanhviphaply_baovecaitaophuchoidat,HanhViPhapLy,"Bảo vệ, cải tạo, phục hồi đất"
khainiem_baovecaitao,KhaiNiem,"bảo vệ, cải tạo, phục hồi đất"
dieukien_baodamkhachquan,DieuKien,"Bảo đảm khách quan, trung thực, đúng pháp luật"
dieukien_baodammoitruong,DieuKien,Bảo đảm môi trường
