id:ID,:LABEL,properties,noi_dung,name
chetai_boithuong,Chetai,{'name': 'bồi thường'},,
chetai_boithuongthiethai,Chetai,{'name': 'bồi thường theo mức thiệt hại thực tế'},,
chetai_thuhoidat,Chetai,{'name': 'Thu hồi đất'},,
chetai_truycuutrachnhiemhinhsu,Chetai,{'name': 'truy cứu trách nhiệm hình sự'},,
chetai_xulyhanhchinh,Chetai,{'name': 'xử lý hành chính'},,
chetai_xulykyluat,Chetai,{'name': 'xử lý kỷ luật'},,
chetai_xulyvihamhanhchinh,Chetai,{'name': 'xử lý vi phạm hành chính'},,
chuthe_bancuongchethuhoidat,Chuthe,{'name': 'Ban cưỡng chế thu hồi đất'},,
chuthe_banquanlykhucongnghecao,Chuthe,{'name': 'Ban Quản lý khu công nghệ cao'},,
chuthe_banquanlykhukinhote,Chuthe,{'name': 'Ban quản lý khu kinh tế'},,
chuthe_banquanlykhukinhte,Chuthe,{'name': 'Ban Quản lý khu kinh tế'},,
chuthe_banquanlyrungdacdung,Chuthe,{'name': 'Ban quản lý rừng đặc dụng'},,
chuthe_banquanlyrungphongho,Chuthe,{'name': 'Ban quản lý rừng phòng hộ'},,
chuthe_banthihanhcuongche,Chuthe,{'name': 'Ban thực hiện cưỡng chế'},,
chuthe_ben_tranh_chapdatdai,Chuthe,{'name': 'Các bên tranh chấp đất đai'},,
chuthe_benhbinh,Chuthe,{'name': 'Bệnh binh'},,
chuthe_bentranchapdatdai,Chuthe,{'name': 'Các bên tranh chấp đất đai'},,
chuthe_bo,Chuthe,{'name': 'Bộ'},,
chuthe_bo_nganh,Chuthe,"{'name': 'Bộ, ngành'}",,
chuthe_bo_truong_bo_cong_an,Chuthe,{'name': 'Bộ trưởng Bộ Công an'},,
chuthe_bo_truong_bo_congthuong,Chuthe,{'name': 'Bộ trưởng Bộ Công Thương'},,
chuthe_bo_truong_bo_giaothongvantai,Chuthe,{'name': 'Bộ trưởng Bộ Giao thông vận tải'},,
chuthe_bo_truong_bo_nongnghiepvaphattriennongthon,Chuthe,{'name': 'Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn'},,
chuthe_bo_truong_bo_quoc_phong,Chuthe,{'name': 'Bộ trưởng Bộ Quốc phòng'},,
chuthe_bo_truong_bo_tainguyenvmoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_bo_truong_bo_yte,Chuthe,{'name': 'Bộ trưởng Bộ Y tế'},,
chuthe_bocongan,Chuthe,{'name': 'Bộ Công an'},,
chuthe_bocoquanngangbo,Chuthe,"{'name': 'Bộ, cơ quan ngang bộ'}",,
chuthe_bonganh,Chuthe,"{'name': 'Bộ, ngành'}",,
chuthe_bonoivu,Chuthe,{'name': 'Bộ Nội vụ'},,
chuthe_boquocphong,Chuthe,{'name': 'Bộ Quốc phòng'},,
chuthe_botainguyenmoitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botainguyenvamientruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botainguyenvamitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botainguyenvamoitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botainguyenvamotruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botainguyenvmoitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botainnguyenvamoitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_bothonguyenmoitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_bothutruongbotainguyenmoitruong,Chuthe,{'name': 'Bộ trưởng Bộ Tài nguyên và Môi trường'},,
chuthe_botnguyenvamoitruong,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botnmt,Chuthe,{'name': 'Bộ Tài nguyên và Môi trường'},,
chuthe_botruongbocongan,Chuthe,{'name': 'Bộ trưởng Bộ Công an'},,
chuthe_botruongbocongthuong,Chuthe,{'name': 'Bộ trưởng Bộ Công Thương'},,
chuthe_botruongbogiaothongvantai,Chuthe,{'name': 'Bộ trưởng Bộ Giao thông vận tải'},,
chuthe_botruongbonoivu,Chuthe,{'name': 'Bộ trưởng Bộ Nội vụ'},,
chuthe_botruongbonongnghiepvaphattriennongthon,Chuthe,{'name': 'Bộ trưởng Bộ Nông nghiệp và Phát triển nông thôn'},,
chuthe_botruongboquocphong,Chuthe,{'name': 'Bộ trưởng Bộ Quốc phòng'},,
