nodeId:ID,:LABEL,name,ma_dieu,phien_ban,noi_dung
dieu_190_2013,DieuLuat,Điều 190. Điều kiện chuyển đổi quyền sử dụng đất nông nghiệp,190.0,2013.0,"Điều 190.

Điều kiện chuyển đổi quyền sử dụng đất nông nghiệp
Hộ gia đình, cá nhân sử dụng đất nông nghiệp do được Nhà nước giao đất, do chuyển đổi, nhận chuyển
nhượng, nhận thừa kế, được tặng cho quyền sử dụng đất hợp pháp từ người khác thì chỉ được chuyển
đổi quyền sử dụng đất nông nghiệp trong cùng xã, phường, thị trấn cho hộ gia đình, cá nhân khác để about:blank
thuận lợi cho sản xuất nông nghiệp và không phải nộp thuế thu nhập từ việc chuyển đổi quyền sử dụng
đất và lệ phí trước bạ."
hanhviphaply_chuyendoiquyensudungdatnongnghiep,HanhViPhapLy,chuyển đổi quyền sử dụng đất nông nghiệp,,,
dieu_159_2013,DieuLuat,Điều 159. Đất cơ sở tôn giáo,159.0,2013.0,"Điều 159.

Đất cơ sở tôn giáo
1. Đất cơ sở tôn giáo gồm đất thuộc chùa, nhà thờ, nhà nguyện, thánh thất, thánh đường, niệm phật
đường, tu viện, trường đào tạo riêng của tôn giáo, trụ sở của tổ chức tôn giáo, các cơ sở khác của tôn
giáo được Nhà nước cho phép hoạt động.
2. Ủy ban nhân dân cấp tỉnh căn cứ vào chính sách tôn giáo của Nhà nước, quy hoạch, kế hoạch sử
dụng đất đã được cơ quan nhà nước có thẩm quyền phê duyệt quyết định diện tích đất giao cho cơ sở
tôn giáo."
khainiem_datcosotongiao,KhaiNiem,Đất cơ sở tôn giáo,,,
chuthe_chua,ChuThe,chùa,,,
chuthe_nhatho,ChuThe,nhà thờ,,,
chuthe_nhanguyen,ChuThe,nhà nguyện,,,
chuthe_thanhthat,ChuThe,thánh thất,,,
chuthe_thanhduong,ChuThe,thánh đường,,,
chuthe_niemphatduong,ChuThe,niệm phật đường,,,
chuthe_tuvien,ChuThe,tu viện,,,
chuthe_truongdaotaoriengcuatongiao,ChuThe,trường đào tạo riêng của tôn giáo,,,
chuthe_trusocuatochuctongiao,ChuThe,trụ sở của tổ chức tôn giáo,,,
chuthe_caccosokhaccuatongiao,ChuThe,các cơ sở khác của tôn giáo,,,
dieu_15_2013,DieuLuat,"Điều 15. Nhà nước quy định hạn mức sử dụng đất, thời hạn sử dụng đất",15.0,2013.0,"Điều 15.

Nhà nước quy định hạn mức sử dụng đất, thời hạn sử dụng đất
1. Nhà nước quy định hạn mức sử dụng đất gồm hạn mức giao đất nông nghiệp, hạn mức giao đất ở,
hạn mức công nhận quyền sử dụng đất ở và hạn mức nhận chuyển quyền sử dụng đất nông nghiệp.
2. Nhà nước quy định thời hạn sử dụng đất bằng các hình thức sau đây:
a) Sử dụng đất ổn định lâu dài;
b) Sử dụng đất có thời hạn."
khainiem_hanmucsudungdat,KhaiNiem,hạn mức sử dụng đất,,,
khainiem_hanmucgiaodato,KhaiNiem,hạn mức giao đất ở,,,
khainiem_hanmuccongnhanquyensudungdato,KhaiNiem,hạn mức công nhận quyền sử dụng đất ở,,,
khainiem_hanmucnhanchuyenquyensudungdatnongnghiep,KhaiNiem,hạn mức nhận chuyển quyền sử dụng đất nông nghiệp,,,
khainiem_sudungdatonlaudai,KhaiNiem,Sử dụng đất ổn định lâu dài,,,
khainiem_sudungdatcothoihan,KhaiNiem,Sử dụng đất có thời hạn,,,
